Country1,Happiness Rank1,Happiness Score1,Latitude1,Longitude1,Country2,Happiness Rank2,Happiness Score2,Latitude2,Longitude2,Latitude Distance,Longitude Distance,Distance,Rank Difference,Score Difference
Denmark,1,7.526,56.26392,9.501785,Iran,105,4.813,32.427908,53.68804599999999,23.836011999999997,-44.186260999999995,50.205389444005554,104,2.713
Denmark,1,7.526,56.26392,9.501785,Zambia,106,4.795,-13.133897,27.849332,69.397817,-18.347547,71.78223655809771,105,2.731
Denmark,1,7.526,56.26392,9.501785,Nepal,107,4.793,28.394857,84.12400799999998,27.869063,-74.62222299999998,79.6565178623802,106,2.7329999999999997
Denmark,1,7.526,56.26392,9.501785,Palestinian Territories,108,4.754,31.952162,35.233154,24.311757999999998,-25.731369,35.40006959971583,107,2.7720000000000002
Denmark,1,7.526,56.26392,9.501785,Albania,109,4.655,41.153332,20.168331,15.110588,-10.666545999999999,18.496082646762257,108,2.8709999999999996
Denmark,1,7.526,56.26392,9.501785,Bangladesh,110,4.643,23.684994,90.356331,32.578925999999996,80.854546,87.17134866559994,109,2.883
Denmark,1,7.526,56.26392,9.501785,Sierra Leone,111,4.635,8.460555000000001,-11.779889,-47.803365,21.281674000000002,52.3265836221466,110,2.891
Denmark,1,7.526,56.26392,9.501785,Iraq,112,4.575,33.223191,43.679291,23.040729,-34.177506,41.2186500170915,111,2.9509999999999996
Denmark,1,7.526,56.26392,9.501785,Namibia,113,4.574,-22.95764,18.49041,79.22156,-8.988625,79.72986233666923,112,2.952
Denmark,1,7.526,56.26392,9.501785,Cameroon,114,4.513,7.369722,12.354722,-48.894197999999996,-2.8529370000000007,48.977360561683724,113,3.013
Denmark,1,7.526,56.26392,9.501785,Ethiopia,115,4.508,9.145,40.489673,-47.11892,-30.987888000000005,56.39540605995265,114,3.018
Denmark,1,7.526,56.26392,9.501785,South Africa,116,4.459,-30.559482,22.937506,86.823402,-13.435721,87.85682519669969,115,3.067
Denmark,1,7.526,56.26392,9.501785,Sri Lanka,117,4.415,7.873054,80.77179699999998,-48.390866,-71.27001199999998,86.14575162310732,116,3.1109999999999998
Denmark,1,7.526,56.26392,9.501785,India,118,4.404,20.593684,78.96288,35.670236,-69.461095,78.08463008105194,117,3.122
Denmark,1,7.526,56.26392,9.501785,Myanmar,119,4.395,21.913965,95.956223,34.349954999999994,86.454438,93.02843252682412,118,3.1310000000000002
Denmark,1,7.526,56.26392,9.501785,Egypt,120,4.362,26.820553000000004,30.802498,29.443366999999995,-21.300713000000002,36.340504049958604,119,3.1639999999999997
